id,country,htap_region,climatic_zone,lon,lat,alt,relative_alt,type,type_of_area,water_25km,evergreen_needleleaf_forest_25km,evergreen_broadleaf_forest_25km,deciduous_needleleaf_forest_25km,deciduous_broadleaf_forest_25km,mixed_forest_25km,closed_shrublands_25km,open_shrublands_25km,woody_savannas_25km,savannas_25km,grasslands_25km,permanent_wetlands_25km,croplands_25km,urban_and_built-up_25km,cropland-natural_vegetation_mosaic_25km,snow_and_ice_25km,barren_or_sparsely_vegetated_25km,wheat_production,rice_production,nox_emissions,no2_column,population_density,max_population_density_5km,max_population_density_25km,nightlight_1km,nightlight_5km,max_nightlight_25km,o3_average_values,o3_daytime_avg,o3_nighttime_avg,o3_median,o3_perc25,o3_perc75,o3_perc90,o3_perc98,o3_dma8eu,o3_avgdma8epax,o3_drmdmax1h,o3_w90,o3_aot40,o3_nvgt070,o3_nvgt100,dataset
3356,Germany,EUR,cool_moist,7.611581,51.936547,63,11,background,urban,0,0,0,0,0,4.8,0,0,0,0,0,0,57.5,9.8,27.9,0,0,3.202,0,5.6584,6.5,11643,11654,11654,55,47.31,61,20.5605,25.1169,15.5671,19.4493,8.0964,29.8044,39.9749,57.7771,53.8749,29.9397,49.4399,174.748,8238.854,5.2,0.8,train
3357,Germany,EUR,cool_moist,8.191932,50.930328,635,221,background,rural,0,3.4,0,0,0,82.3,0,0,0,0,0,0,1.1,7,5.7,0,0,0.204,0,0.961857,3.69,3386,3389,3401,6,8.59,57,31.0507,32.6226,29.4267,29.6954,22.4015,38.3692,48.6652,63.6303,58.9761,36.5997,51.5431,162.0816,12005.9477,7.2,0.2,test
3358,Germany,EUR,cool_moist,6.469363,50.883475,105,106,industrial,rural,0,0,0,0,0,13.1,0,0,0,0,2.5,0,54.1,22.8,6.9,0,0,8.386,0,4.70057,8.96,4056,4060,17017,44,36.72,60,22.7449,27.4854,17.6856,22.6255,11.5146,31.8375,40.5017,58.3094,54.5546,32.3174,50.4379,150.0345,8253.9693,5,0.2,train
3359,Germany,EUR,warm_moist,6.819967,51.303919,41,8,background,suburban,0,6,0,0,0,17.9,0,0,0,0,0,0,17.6,49.7,7.6,0,0,2.603,0,10.4437,11.34,23939,34465,36502,61,55.59,63,18.3969,23.0396,13.4247,16.9853,5.8318,27.1578,37.3329,55.5571,50.9395,27.9934,47.5829,165.3787,6662.7133,5.8,0.6,train
3360,Germany,EUR,cool_moist,7.582295,51.448762,157,17,background,urban,0,1.6,0,0,0,42.5,0,0,0,0,0,0,14.7,31,9,0,0,2.538,0,10.2648,7.21,10974,22543,38108,50,37.75,63,19.0091,24.3922,13.1741,17.9339,5.512,28.3925,38.8311,56.4687,52.9209,29.354,48.2257,150.6274,7615.6487,4.4,0.8,train
3361,Germany,EUR,cool_moist,6.281069,50.653236,572,166,background,rural,0,3.6,0,0,0,52.3,0,0,0,0,2.6,0,12.7,8.2,20.6,0,0,1.583,0,1.84983,5.52,7593,7593,20125,12,12.07,62,28.3555,30.3423,26.2124,27.5357,21.1139,34.3354,42.8033,58.9996,53.1059,34.2742,48.0192,124.2741,7681.0113,3.8,0,train
3362,Germany,EUR,cool_moist,8.148061,51.570662,110,28,background,rural,0,1.3,0,0,0,22,0,0,0,0,0,0,58.8,9,8.7,0,0,6.309,0,2.01106,5.84,3143,3146,10658,40,26.1,55,23.2652,27.9894,18.1047,23.0639,13.0114,31.6865,40.9328,57.3811,53.717,32.6726,49.1725,141.3592,8494.9841,3.2,0.2,train
3363,Germany,EUR,cool_moist,7.052634,51.183773,207,100,background,suburban,0,2.3,0,0,0,35.8,0,0,0,0,1.3,0,7.1,38.7,14.4,0,0,3.951,0,8.51999,9.38,24010,26229,34559,56,50.89,63,22.7056,25.4725,19.8035,21.2625,12.2026,30.7053,41.357,61.1049,55.5401,30.2611,49.8058,188.9687,8740.1922,7.2,0.8,train
3364,Germany,EUR,cool_moist,6.629576,51.672809,25,12,background,suburban,0,3.1,0,0,0,14,0,0,0,0,0,0,26,15.2,40.7,0,0,4.806,0,75.0858,9.85,6132,6138,36502,56,38.61,63,20.3791,24.9574,15.5076,19.4662,8.0756,29.4366,39.5755,57.1597,53.1969,29.6689,49.7593,187.4504,8070.9914,6.2,0.6,train
3365,Germany,EUR,cool_moist,7.231895,51.277647,186,15,background,urban,0,2.3,0,0,0,44.6,0,0,0,0,1.6,0,6,30,14.9,0,0,1.428,0,6.57605,7.34,26725,26725,34349,55,48.24,63,19.0663,23.8534,13.9163,17.7668,6.6292,27.7547,38.1952,56.6434,52.3366,28.741,48.0652,148.7007,7336.7534,4,0.8,train
3366,Germany,EUR,cool_moist,7.90803,47.91326,1205,613,background,rural,0,2.1,0,0,0,64,0,0,0,0,0,0,10,3.5,19.3,0,0,0.017,0,0.941493,3.37,5623,18840,20407,12,9.12,62,42.4705,42.2565,42.0454,41.3899,35.3311,48.8834,57.7992,73.007,66.8585,46.3876,61.7823,246.0503,25395.046,15.75,0.5,train
3367,Germany,EUR,cool_moist,13.03166,53.1413,65,22,background,rural,0,19.4,0,0,0,47.9,0,0,0,0,1.7,0,17.7,0,11.9,0,0,0.475,0,0.186579,3.12,1474,1588,1594,0,2.28,44,25.9525,30.7564,21.0914,25.443,15.1161,35.6231,44.48,56.4458,54.1322,34.7391,51.3236,102.1509,10197.2941,2.4,0,val
3368,Germany,EUR,cool_moist,10.098309,48.850373,420,9,background,suburban,0,0,0,0,0,41.9,0,0,0,0,0,0,22.4,4.6,30.1,0,0,0.817,0,3.04409,2.98,2937,2940,5633,54,32.29,58,24.2353,30.336,17.677,22.8967,10.0097,35.2973,47.6028,63.2633,61.0304,35.1482,55.4339,145.6674,15465.9759,6.2,0,val
3369,Germany,EUR,cool_moist,9.227587,48.67819,370,28,background,suburban,0,0,0,0,1.3,28.3,0,0,0,0,0,0,17.9,31.4,21,0,0,1.255,0,17.1518,4.74,19475,26294,39543,56,46.94,63,19.7854,26.0409,13.3066,17.5509,4.6089,30.2598,42.841,61.0479,57.7786,31.0597,53.2309,147.7194,11568.4302,6.4,0.2,train
3370,Germany,EUR,cool_moist,9.799713,48.090185,560,16,background,suburban,0,0,0,0,0,23.3,0,0,0,0,0,0,32.8,2.2,40.6,0,0,2.62,0,1.1027,2.81,1967,1969,3712,52,27.45,52,22.8891,29.8131,15.4263,21.3528,7.773,34.4853,46.7221,61.4704,58.9483,34.8266,54.2553,114.7667,14401.7139,4.2,0,train
3371,Germany,EUR,warm_moist,8.40666,49.07655,110,10,background,rural,0,1,0,0,0,33.3,0,0,0,0,0,0,29.4,18.6,16.5,0,0,1.382,0,10.1557,6.37,16931,22819,22839,35,40.92,63,20.5003,27.1287,13.2439,18.5509,5.2367,31.3288,42.8269,63.0463,59.8466,32.4359,55.2817,197.8673,12483.9418,8.2,0.8,train
3372,Germany,EUR,cool_moist,7.831787,48.001509,240,38,background,urban,0,0,0,0,1.2,52.8,0,0,0,0,0,0,20.2,5,19.9,0,0,1.023,0,6.20353,3.77,16032,20407,20407,62,47.4,62,24.4112,28.9187,19.5096,23.859,9.6601,35.8086,46.6755,64.7261,61.3562,34.5615,56.7381,191.5286,14772.6088,9.2,0,train
3373,Germany,EUR,cool_moist,8.412437,48.472245,750,118,background,suburban,0,17.7,0,0,0,58.7,0,0,0,0,0,0,8.5,1.9,13.1,0,0,0,0,1.63638,3.04,2006,2008,5292,46,20.6,50,29.8428,-999,-999,-999,-999,-999,-999,-999,-999,-999,49.7138,-999,-999,-999,-999,test
3374,Germany,EUR,cool_moist,9.486255,47.660553,402,17,background,urban,21.1,0,0,0,0,17.4,0,0,0,0,0,0,7.6,6.5,45.3,0,0,0.004,0,1.6829,1.98,1728,4570,20201,49,30.12,57,21.5258,26.3304,16.4816,19.3529,6.3858,32.4829,45.1998,62.4825,59.5849,31.6521,56.4905,157.2995,12506.2897,6.6,0,train
3375,Germany,EUR,cool_moist,8.903303,48.648925,463,42,background,suburban,0,0,0,0,0,34.7,0,0,0,0,0,0,25.3,17.6,21,0,0,3.418,0,3.94376,4.69,8795,8802,39543,46,28.59,63,24.3969,30.9723,17.3528,23.042,10.5574,35.1257,46.9216,64.1202,61.5592,35.8988,56.5462,178.9402,15787.0076,8.8,0.4,train
3376,Germany,EUR,cool_moist,8.676807,49.419576,110,9,background,urban,0,1,0,0,0,39.4,0,0,0,0,0,0,21.5,26.9,10.7,0,0,0.611,0,17.7187,6.58,18345,18345,28674,59,47.17,63,21.9163,25.3445,18.3571,20.1899,9.1953,31.5781,43.6415,60.6673,57.5073,30.3427,51.7221,143.413,9952.0336,4.2,0,val
3377,Germany,EUR,warm_dry,9.224881,49.16548,152,1,background,suburban,0,0,0,0,0,22.7,0,0,0,0,0,0,39.9,12.8,24.4,0,0,3.178,0,5.38763,5.24,16233,16423,16423,57,48.5,59,20.0666,26.6542,12.9973,17.1925,4.0412,31.2222,44.3101,61.9162,58.5486,32.0426,55.181,188.828,12874.4117,6.2,0.6,train
3378,Germany,EUR,warm_moist,8.418028,49.010519,115,8,traffic,urban,0,1.5,0,0,0,43.6,0,0,0,0,0,0,20.8,17.4,15.7,0,0,3.522,0,10.1557,6.37,22819,22819,22839,62,56.4,63,17.8505,-999,-999,-999,-999,-999,-999,-999,-999,-999,45.6743,-999,-999,-999,-999,train
3379,Germany,EUR,warm_moist,8.3556,49.028711,113,10,background,urban,0,1.1,0,0,0,37,0,0,0,0,0,0,26.5,17.7,16.7,0,0,1.382,0,11.2946,6.07,22819,22819,22839,62,56.78,63,22.7412,28.4339,16.5658,21.4029,7.5386,33.3074,45.6835,66.7438,63.3906,33.6574,57.1116,252.498,15121.597,13.8,1.2,train
3380,Germany,EUR,warm_dry,7.80232,48.57818,135,4,industrial,suburban,0,1.2,0,0,0,23.4,0,0,0,0,0,0,38.2,15.3,20.7,0,0,1.817,0,4.5128,4.95,16902,50374,52046,60,54.17,63,22.5024,27.6,17.192,21.0671,8.2604,32.855,44.5788,63.2761,59.8111,32.6874,56.4301,204.1273,13129.9512,9,0.6,train
3381,Germany,EUR,cool_moist,9.169281,47.664428,400,9,background,urban,14,1.9,0,0,0,23.2,0,0,0,0,0,0,12.4,4.5,42.3,0,0,1.559,0,3.94933,2.51,10571,10571,11475,55,38.51,57,23.5997,28.4385,18.4467,22.5758,9.2429,34.3299,46.2023,63.4011,60.3875,33.4537,56.3947,158.066,13709.2378,6.8,0,train
3382,Germany,EUR,cool_moist,9.17288,48.899272,300,71,background,suburban,0,0,0,0,0,20.7,0,0,0,0,0,0,26.9,31.5,20.5,0,0,2.735,0,24.1442,5.57,10635,22271,39543,62,57.68,63,22.0113,27.6122,16.1823,20.5609,6.7041,32.5956,45.2229,63.3748,60.3167,32.7639,55.1265,179.0091,13470.1467,7.6,0.2,train
3384,Germany,EUR,warm_dry,8.465965,49.544,95,6,industrial,suburban,0,0,0,0,0,23.1,0,0,0,0,0,0,34,32.7,8.4,0,0,2.847,0,87.3003,7.44,28650,28650,28674,60,53.69,63,21.2898,27.14,15.0907,19.403,6.3545,31.513,44.07,63.1217,59.9452,32.2585,55.1561,201.6385,12794.5046,8.2,1,val
3385,Germany,EUR,warm_dry,8.525559,49.432317,95,12,background,urban,0,1.3,0,0,0,28.6,0,0,0,0,0,0,29.2,31.9,8.2,0,0,2.681,0,10.6395,7.1,27149,28674,28674,51,46.69,63,19.7308,-999,-999,-999,-999,-999,-999,-999,-999,-999,49.8278,-999,-999,-999,-999,val
3386,Germany,EUR,warm_moist,7.567796,47.819182,227,12,background,suburban,0,0,0,0,4.2,33.8,0,0,0,0,0,0,36.6,9.8,15.2,0,0,9.049,0,4.47543,4.16,2667,2985,40538,47,32.47,63,23.5884,29.0775,17.7788,22.4706,9.481,33.7184,45.688,64.9641,61.9858,34.3037,57.062,207.5359,14613.4262,10.4,0.2,train
3387,Germany,EUR,cool_moist,8.753833,49.464812,520,180,background,rural,0,0,0,0,0,48.5,0,0,0,0,0,0,18.1,18.6,13.7,0,0,0,0,4.4951,6.14,13907,16141,28674,14,20.16,63,31.3191,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.0891,-999,-999,-999,-999,val
3388,Germany,EUR,warm_moist,7.937756,48.476355,150,7,background,suburban,0,3,0,0,0,42.5,0,0,0,0,0,0,21.4,13.8,18,0,0,2.281,0,2.48323,4.53,3197,3200,52046,54,37.91,63,20.9615,-999,-999,-999,-999,-999,-999,-999,-999,-999,51.1263,-999,-999,-999,-999,train
3389,Germany,EUR,cool_moist,8.665574,48.889028,260,11,background,urban,0,3.1,0,0,0,44.3,0,0,0,0,0,0,20.5,10.9,20.6,0,0,1.41,0,2.33679,5.19,12544,16056,22839,58,42.62,63,20.4095,26.1757,14.4008,18.7238,5.1415,31.9039,42.2901,58.2494,55.3745,31.4366,52.8632,144.3157,10010.5595,4.2,0.2,test
3390,Germany,EUR,cool_moist,9.23704,47.931921,623,11,background,suburban,2.3,0,0,0,0,34.3,0,0,0,0,0,0,20.5,2.2,39.6,0,0,3.85,0,0.532523,2.62,1603,1681,4956,38,17.57,43,24.0273,-999,-999,-999,-999,-999,-999,-999,-999,-999,49.1891,-999,-999,-999,-999,train
3391,Germany,EUR,cool_moist,9.414758,48.708466,250,63,background,suburban,0,0,0,0,1.7,29.7,0,0,0,0,0,0,17.1,22.8,28.6,0,0,2.823,0,6.5175,4.46,11438,11448,39543,50,40.62,63,16.7197,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.6765,-999,-999,-999,-999,train
3392,Germany,EUR,cool_moist,9.20732,48.488887,385,39,background,urban,0,0,0,0,2.2,34.8,0,0,0,0,0,0,18.5,10.7,33.7,0,0,0.535,0,1.71788,3.54,3680,4308,19475,56,39.54,62,22.6253,27.294,17.8265,21.6686,8.0549,33.9152,44.7272,59.2961,55.8801,32.3288,52.0921,100.1475,10688.4073,2.4,0,train
3393,Germany,EUR,cool_moist,7.764349,47.808469,920,335,background,rural,0,0,0,0,2.6,52.8,0,0,0,0,0,0,18.1,6.2,19.3,0,0,0,0,0.394885,3.53,2780,4000,20407,0,3.77,62,39.6961,38.9051,40.6372,38.9714,32.1094,46.9311,57.1418,72.5883,69.1438,44.1688,60.9654,231.5422,20536.6109,16.8,1,train
3394,Germany,EUR,cool_moist,9.733632,49.107256,300,58,background,suburban,0,0,0,0,0,44.1,0,0,0,0,0,0,24.2,2.8,28.5,0,0,4.7,0,2.08002,3.81,1820,1822,6980,44,25.71,52,20.8752,28.4586,12.6493,18.5083,5.1227,32.2811,45.2219,62.2327,59.6707,33.6656,54.3632,144.128,13591.5246,7.6,0,val
3395,Germany,EUR,cool_moist,9.207748,48.345404,799,26,background,rural,0,0,0,0,1.8,39.8,0,0,0,0,0,0,15.1,6,37.1,0,0,0.82,0,1.20021,3.02,3499,3687,7208,8,10.53,58,31.5171,34.3645,28.592,31.3851,22.8403,39.8135,48.8288,61.1656,57.9032,38.0014,53.0833,108.4781,13733.4467,3,0,train
3396,Germany,EUR,cool_moist,9.229745,48.8088,235,34,background,urban,0,0,0,0,0,22.7,0,0,0,0,0,0,23.1,33.5,20.3,0,0,0.493,0,11.1629,5.12,37706,39510,39543,63,60.8,63,19.7634,25.6381,13.5933,16.9945,4.6139,30.4215,43.2856,61.0966,58.0862,30.8562,53.5649,142.0802,11493.8457,5.2,0.2,train
3397,Germany,EUR,cool_moist,9.179286,48.783801,245,34,traffic,urban,0,0,0,0,0,23.2,0,0,0,0,0,0,23.3,32.8,20.1,0,0,0.493,0,13.2778,5.43,39510,39543,39543,63,61.03,63,11.5482,-999,-999,-999,-999,-999,-999,-999,-999,-999,34.1386,-999,-999,-999,-999,train
3398,Germany,EUR,cool_moist,9.172489,48.825536,260,54,traffic,urban,0,0,0,0,0,20,0,0,0,0,0,0,25.5,33.3,20.8,0,0,0.493,0,24.1442,5.57,39477,39510,39543,63,61.27,63,16.8914,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.9302,-999,-999,-999,-999,train
3399,Germany,EUR,cool_moist,9.657919,49.634841,177,39,background,suburban,0,0,0,0,0,20.5,0,0,0,0,0,0,52.1,4.5,22.7,0,0,2.521,0,3.30053,3.9,1431,1432,4253,30,13.91,57,21.6425,29.1097,13.5945,19.383,6.5688,32.741,45.3156,62.4963,59.7482,34.3659,54.8455,148.9049,13645.7081,6,0,train
3400,Germany,EUR,cool_moist,9.050407,48.507319,320,22,background,suburban,0,0,0,0,1.2,34.6,0,0,0,0,0,0,23.9,11.4,28.8,0,0,2.954,0,5.33823,4.3,5982,5987,18261,51,34.45,62,20.1039,27.5967,11.9823,16.5459,4.0362,31.7937,44.9823,62.4141,59.4214,33.2226,55.5702,152.2854,13647.2919,5.4,0,train
3401,Germany,EUR,cool_moist,9.979058,48.396819,480,17,background,urban,0,0,0,0,0,20.4,0,0,0,0,0,0,33.9,6.7,38.1,0,0,3.36,0,3.29357,3.78,12131,14002,14002,58,50.19,61,18.0814,23.4099,12.5385,15.566,4.6966,27.5181,39.1799,55.6043,53.4228,28.0439,49.0372,80.52,7603.2491,1.4,0,train
3402,Germany,EUR,cool_moist,8.463819,48.04842,705,9,background,suburban,0,6.7,0,0,0,48.1,0,0,0,0,0,0,17.5,3.9,23.6,0,0,3.692,0,2.28161,2.91,2940,2942,4075,42,34.36,54,23.8908,31.0242,16.5547,22.9518,9.5624,35.494,46.3898,61.3598,58.2971,35.7549,54.1529,129.1035,13859.0335,4.6,0,train
3403,Germany,EUR,cool_moist,9.301021,48.832466,275,32,background,suburban,0,0,0,0,0,25.1,0,0,0,0,0,0,21.9,32.7,19.9,0,0,1.153,0,5.60145,5.06,6992,12099,39543,59,52.6,63,18.3139,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.5146,-999,-999,-999,-999,train
3404,Germany,EUR,cool_moist,8.223123,47.61862,340,17,traffic,suburban,0,2.1,0,0,0,49.9,0,0,0,0,0,0,16.3,5.3,25.4,0,0,1.472,0,3.22736,3.08,3278,5063,16254,48,33.99,60,20.1513,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.8614,-999,-999,-999,-999,train
3405,Germany,EUR,cool_moist,7.633271,47.588152,275,24,background,suburban,0,0,0,0,2.7,41.4,0,0,0,0,0,0,22.1,9.9,23.4,0,0,0,0,9.06509,3.85,22373,75531,75531,58,55.17,62,23.9037,29.534,17.8482,21.7639,10.2905,34.3199,46.676,66.1427,62.7421,34.9075,57.369,205.4439,15666.9279,11.6,0.4,train
3406,Germany,EUR,warm_moist,8.69993,49.300681,160,47,background,suburban,0,1.2,0,0,0,28.9,0,0,0,0,0,0,35.5,20.5,13.5,0,0,4.945,0,6.94463,6.25,7099,7099,27548,49,39.8,62,23.7717,28.0064,19.2014,21.9443,10.7616,33.8262,45.8514,63.5739,60.5703,32.8386,54.9343,187.1278,13334.5254,7.6,0.6,val
3407,Germany,EUR,cool_moist,10.008293,48.397079,470,11,background,urban,0,0,0,0,0,20.5,0,0,0,0,0,0,33.5,6.8,38.5,0,0,4.309,0,4.01295,3.75,6034,12131,14002,60,47.5,61,18.4395,24.0411,12.7592,15.3984,3.8587,28.5961,41.1855,59.1396,56.3932,29.0041,52.574,116.8132,9628.0549,2.8,0,train
3408,Germany,EUR,cool_moist,10.404232,47.518013,1169,395,background,rural,1,10.6,0,0,0,40.2,0,1.8,0,0,15.7,0,2.6,2.3,25,0,0,0,0,0.52931,1.72,1424,1425,13612,22,12.65,58,32.8824,35.4954,31.4578,33.5251,26.8462,40.1757,47.4538,57.708,54.8563,39.5329,51.2914,72.4898,11962.8012,0.5,0,test
3409,Germany,EUR,cool_moist,12.858856,47.723186,465,51,background,suburban,0,12.5,0,0,0,51.6,0,0,0,0,5.9,0,1.4,5.7,20.7,0,0,0.061,0,1.66284,2.64,1741,1774,29153,25,16.54,62,21.8328,25.6125,17.9838,20.8872,10.3511,31.2318,41.0204,56.4977,53.773,30.9143,49.9446,93.0223,8417.3273,1.6,0,train
