id,name,character(s),role,movie_id,movie_title
618691,Ken Keener,Second Deputy,ACTOR,tm154986,Deliverance
498130,Johnny Popwell,Ambulance Driver,ACTOR,tm154986,Deliverance
618690,John Fowler,Doctor,ACTOR,tm154986,Deliverance
217036,Kathy Rickman,Nurse,ACTOR,tm154986,Deliverance
618689,Louise Coldren,Mrs. Biddiford,ACTOR,tm154986,Deliverance
618688,Pete Ware,Taxi Driver,ACTOR,tm154986,Deliverance
24510,James Dickey,Sheriff Bullard,ACTOR,tm154986,Deliverance
53804,Macon McCalman,Deputy Queen,ACTOR,tm154986,Deliverance
618687,Hoyt Pollard,Boy at Gas Station,ACTOR,tm154986,Deliverance
37993,Belinda Beatty,Martha Gentry,ACTOR,tm154986,Deliverance
100262,Charley Boorman,Ed's Boy,ACTOR,tm154986,Deliverance
17727,John Boorman,,DIRECTOR,tm154986,Deliverance
11472,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR,tm127384,Monty Python and the Holy Grail
1549,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR,tm127384,Monty Python and the Holy Grail
11474,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR,tm127384,Monty Python and the Holy Grail
11473,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR,tm127384,Monty Python and the Holy Grail
11475,Terry Jones,"Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,Themselves (uncredited)",ACTOR,tm127384,Monty Python and the Holy Grail
11476,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR,tm127384,Monty Python and the Holy Grail
40898,Connie Booth,The Witch,ACTOR,tm127384,Monty Python and the Holy Grail
11478,Carol Cleveland,Zoot / Dingo,ACTOR,tm127384,Monty Python and the Holy Grail
11482,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR,tm127384,Monty Python and the Holy Grail
40899,Bee Duffell,Old Crone,ACTOR,tm127384,Monty Python and the Holy Grail
11481,John Young,Dead Body / Historian Frank,ACTOR,tm127384,Monty Python and the Holy Grail
40900,Rita Davies,Historian's Wife,ACTOR,tm127384,Monty Python and the Holy Grail
40901,Avril Stewart,Dr. Piglet,ACTOR,tm127384,Monty Python and the Holy Grail
40902,Sally Kinghorn,Dr. Winston,ACTOR,tm127384,Monty Python and the Holy Grail
40903,Mark Zycon,Prisoner,ACTOR,tm127384,Monty Python and the Holy Grail
1275018,Elspeth Cameron,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462970,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
589811,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR,tm127384,Monty Python and the Holy Grail
976111,Sandy Rose,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462971,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR,tm127384,Monty Python and the Holy Grail
90024,Joni Flynn,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462991,Alison Walker,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462993,Loraine Ward,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462994,Anna Lanski,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462623,Sally Coombe,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462995,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462975,Yvonne Dick,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462978,Daphne Darling,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
703435,Fiona Gordon,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1463011,Judy Lamb,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462986,Tracy Sneddon,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1462588,Joyce Pollner,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
889417,Mary Allen,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1464056,Gloria Graham,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
1671807,Sylvia Taylor,Girl in Castle Anthrax,ACTOR,tm127384,Monty Python and the Holy Grail
11490,Julian Doyle,Police Sergeant (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
84047,Margarita Doyle,Peasant (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
1463016,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
1463018,Scott Mike,Bash (Mudfighter (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
1463021,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
919694,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
400172,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
14908,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
8327,John Thornton,Dancing Knight (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
156072,Maggie Weston,Page-turner (uncredited),ACTOR,tm127384,Monty Python and the Holy Grail
11475,Terry Jones,,DIRECTOR,tm127384,Monty Python and the Holy Grail
11473,Terry Gilliam,,DIRECTOR,tm127384,Monty Python and the Holy Grail
35196,Lee Marvin,Maj. John Reisman,ACTOR,tm120801,The Dirty Dozen
1050,Ernest Borgnine,Maj. Gen. Worden,ACTOR,tm120801,The Dirty Dozen
16868,Charles Bronson,Joseph Wladislaw,ACTOR,tm120801,The Dirty Dozen
14351,Jim Brown,Robert Jefferson,ACTOR,tm120801,The Dirty Dozen
35197,John Cassavetes,Victor Franko,ACTOR,tm120801,The Dirty Dozen
35200,Richard Jaeckel,Sergeant Bowren,ACTOR,tm120801,The Dirty Dozen
1061,George Kennedy,Major Max Armbruster,ACTOR,tm120801,The Dirty Dozen
35198,Trini López,Pedro Jiminez,ACTOR,tm120801,The Dirty Dozen
21482,Ralph Meeker,Captain Stuart Kinder,ACTOR,tm120801,The Dirty Dozen
24126,Robert Ryan,Col. Everett Dasher Breed,ACTOR,tm120801,The Dirty Dozen
21838,Telly Savalas,Archer Maggott,ACTOR,tm120801,The Dirty Dozen
1765,Donald Sutherland,Vernon Pinkley,ACTOR,tm120801,The Dirty Dozen
35199,Clint Walker,Samson Posey,ACTOR,tm120801,The Dirty Dozen
8044,Robert Webber,General Denton,ACTOR,tm120801,The Dirty Dozen
35201,Tom Busby,Milo Vladek,ACTOR,tm120801,The Dirty Dozen
35202,Ben Carruthers,Glenn Gilpin,ACTOR,tm120801,The Dirty Dozen
35203,Stuart Cooper,Roscoe Lever,ACTOR,tm120801,The Dirty Dozen
29814,Robert Phillips,Cpl. Morgan - MP Guard,ACTOR,tm120801,The Dirty Dozen
35204,Colin Maitland,Seth Sawyer,ACTOR,tm120801,The Dirty Dozen
15345,Al Mancini,Tassos Bravos,ACTOR,tm120801,The Dirty Dozen
2095,George Roubicek,Pvt. Arthur James Gardner,ACTOR,tm120801,The Dirty Dozen
32622,Thick Wilson,Gen. Worden's Aide,ACTOR,tm120801,The Dirty Dozen
548877,Dora Reisser,German Officer's Girl,ACTOR,tm120801,The Dirty Dozen
361026,Michael Anthony,German Officer in Staff Car (uncredited),ACTOR,tm120801,The Dirty Dozen
35206,Leo Britt,German General in Staff Car (uncredited),ACTOR,tm120801,The Dirty Dozen
35207,Alan Chuntz,French Servant (uncredited),ACTOR,tm120801,The Dirty Dozen
35208,Gary Files,Ambulance Driver (uncredited),ACTOR,tm120801,The Dirty Dozen
35209,Judith Furse,Drunken General's Wife (uncredited),ACTOR,tm120801,The Dirty Dozen
35210,Hal Galili,MP Master Sergeant / Hangman (uncredited),ACTOR,tm120801,The Dirty Dozen
35211,Romo Gorrara,Airborne Soldier (uncredited),ACTOR,tm120801,The Dirty Dozen
11181,Willoughby Gray,German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
35212,Gerard Heinz,Card-Playing German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
21244,John G. Heller,2nd German Sentry at Chateau (uncredited),ACTOR,tm120801,The Dirty Dozen
35213,George Hilsdon,Medical Officer at Hanging (uncredited),ACTOR,tm120801,The Dirty Dozen
35214,John Hollis,German Porter at Chateau (uncredited),ACTOR,tm120801,The Dirty Dozen
10097,Alf Joint,German Sentry Wanting Light (uncredited),ACTOR,tm120801,The Dirty Dozen
35215,Juba Kennerley,German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
35216,Hildegard Knef,(uncredited),ACTOR,tm120801,The Dirty Dozen
35217,Ann Lancaster,Prostitute (uncredited),ACTOR,tm120801,The Dirty Dozen
35218,Richard Marner,German Sentry at Chateau (uncredited),ACTOR,tm120801,The Dirty Dozen
1062,Dick Miller,MP at Hanging (uncredited),ACTOR,tm120801,The Dirty Dozen
22266,Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),ACTOR,tm120801,The Dirty Dozen
35219,Suzanne Owens-Duval,Prostitute (uncredited),ACTOR,tm120801,The Dirty Dozen
4500,Mike Reid,Sergeant at War Games HQ (uncredited),ACTOR,tm120801,The Dirty Dozen
31806,Terry Richards,Blake (uncredited),ACTOR,tm120801,The Dirty Dozen
35220,Frederick Schiller,Drunken German General (uncredited),ACTOR,tm120801,The Dirty Dozen
35222,Richard Shaw,German Officer Who Seals the Bunker (uncredited),ACTOR,tm120801,The Dirty Dozen
35223,Warren Stanhope,German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
35224,Hedger Wallace,German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
35225,Theodore Wilhelm,German Officer (uncredited),ACTOR,tm120801,The Dirty Dozen
35226,Rocky Taylor,Airborne Soldier (uncredited),ACTOR,tm120801,The Dirty Dozen
2105,Burnell Tucker,Army Doctor (uncredited),ACTOR,tm120801,The Dirty Dozen
35227,Vicki Woolf,Prostitute (uncredited),ACTOR,tm120801,The Dirty Dozen
744350,Michael Segal,Airborne Band Conductor (uncredited),ACTOR,tm120801,The Dirty Dozen
1063,Robert Aldrich,,DIRECTOR,tm120801,The Dirty Dozen
11472,Graham Chapman,Various,ACTOR,ts22164,Monty Python's Flying Circus
11476,Michael Palin,"Various / ""It's"" man",ACTOR,ts22164,Monty Python's Flying Circus
11475,Terry Jones,Various,ACTOR,ts22164,Monty Python's Flying Circus
11474,Eric Idle,Various,ACTOR,ts22164,Monty Python's Flying Circus
11473,Terry Gilliam,Various,ACTOR,ts22164,Monty Python's Flying Circus
11472,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR,tm70993,Life of Brian
1549,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR,tm70993,Life of Brian
11473,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR,tm70993,Life of Brian
11474,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR,tm70993,Life of Brian
11475,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR,tm70993,Life of Brian
11476,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR,tm70993,Life of Brian
11477,Terence Bayler,Gregory,ACTOR,tm70993,Life of Brian
11478,Carol Cleveland,Mrs. Gregory,ACTOR,tm70993,Life of Brian
11479,Kenneth Colley,Jesus,ACTOR,tm70993,Life of Brian
11482,Neil Innes,A Weedy Samaritan,ACTOR,tm70993,Life of Brian
11480,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR,tm70993,Life of Brian
11481,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR,tm70993,Life of Brian
11483,Gwen Taylor,Mrs. Big Nose,ACTOR,tm70993,Life of Brian
11484,Sue Jones-Davies,Judith Iscariot,ACTOR,tm70993,Life of Brian
548006,Peter Brett,,ACTOR,tm70993,Life of Brian
11485,John Case,Pilate's Wife,ACTOR,tm70993,Life of Brian
11489,Chris Langham,Alfonso / Giggling Guard,ACTOR,tm70993,Life of Brian
11487,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR,tm70993,Life of Brian
11486,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR,tm70993,Life of Brian
73106,Spike Milligan,Spike,ACTOR,tm70993,Life of Brian
11488,George Harrison,Mr. Papadopolous (uncredited),ACTOR,tm70993,Life of Brian
11475,Terry Jones,,DIRECTOR,tm70993,Life of Brian
6050,Clint Eastwood,Harry,ACTOR,tm14873,Dirty Harry
74499,Harry Guardino,Bressler,ACTOR,tm14873,Dirty Harry
24045,Reni Santoni,Chico,ACTOR,tm14873,Dirty Harry
29250,John Vernon,The Mayor,ACTOR,tm14873,Dirty Harry
29225,Andrew Robinson,Killer,ACTOR,tm14873,Dirty Harry
63141,John Larch,Chief,ACTOR,tm14873,Dirty Harry
28420,John Mitchum,De Georgio,ACTOR,tm14873,Dirty Harry
83026,Mae Mercer,Mrs. Russell,ACTOR,tm14873,Dirty Harry
83027,Lyn Edgington,Norma,ACTOR,tm14873,Dirty Harry
83028,Ruth Kobart,Bus Driver,ACTOR,tm14873,Dirty Harry
29253,Woodrow Parfrey,Mr. Jaffe,ACTOR,tm14873,Dirty Harry
7250,Josef Sommer,Rothko,ACTOR,tm14873,Dirty Harry
83029,William Paterson,Bannerman,ACTOR,tm14873,Dirty Harry
44085,James Nolan,Liquor Proprietor,ACTOR,tm14873,Dirty Harry
28418,Maurice Argent,Sid Kleinman,ACTOR,tm14873,Dirty Harry
83030,Jo De Winter,Miss Willis,ACTOR,tm14873,Dirty Harry
642080,Craig Kelly,Sgt. Reineke,ACTOR,tm14873,Dirty Harry
24203,Albert Popwell,Bank Robber (uncredited),ACTOR,tm14873,Dirty Harry
83031,Joy Carlin,Communications Secretary (uncredited),ACTOR,tm14873,Dirty Harry
83032,Bill Couch,Suicide Jumper (uncredited),ACTOR,tm14873,Dirty Harry
83033,Diana Davidson,Swimmer (uncredited),ACTOR,tm14873,Dirty Harry
6848,Vince Deadrick Sr.,Pedestrian (uncredited),ACTOR,tm14873,Dirty Harry
83034,Chuck Dorsett,TV Watcher (uncredited),ACTOR,tm14873,Dirty Harry
83035,Al Dunlap,Man in Jaffe's Cafe (uncredited),ACTOR,tm14873,Dirty Harry
83036,Larry Duran,(uncredited),ACTOR,tm14873,Dirty Harry
63147,George Fargo,Homicide Detective (uncredited),ACTOR,tm14873,Dirty Harry
83037,Lois Foraker,Hot Mary (uncredited),ACTOR,tm14873,Dirty Harry
29725,Max Gail,Tunnel Hoodlum (uncredited),ACTOR,tm14873,Dirty Harry
19846,John Garber,Tunnel Hoodlum (uncredited),ACTOR,tm14873,Dirty Harry
37760,Christopher Pray,Tunnel Hoodlum (uncredited),ACTOR,tm14873,Dirty Harry
83038,Eddie Garrett,Policeman (uncredited),ACTOR,tm14873,Dirty Harry
58911,James W. Gavin,Helicopter Pilot (uncredited),ACTOR,tm14873,Dirty Harry
28432,David Gilliam,Homosexual (uncredited),ACTOR,tm14873,Dirty Harry
83039,Don Haggerty,Minor Role (uncredited),ACTOR,tm14873,Dirty Harry
83040,Scott Hale,Newsman (uncredited),ACTOR,tm14873,Dirty Harry
83041,Kate Harper,Underwear Chick (uncredited),ACTOR,tm14873,Dirty Harry
83042,Bob Harris,Man in Truck (uncredited),ACTOR,tm14873,Dirty Harry
15562,Chuck Hicks,Flower Vendor (uncredited),ACTOR,tm14873,Dirty Harry
28171,Raymond Johnson,Big Black Man (uncredited),ACTOR,tm14873,Dirty Harry
58618,Richard Lawson,Homosexual (uncredited),ACTOR,tm14873,Dirty Harry
83043,Laurie Mock,Third Nude (uncredited),ACTOR,tm14873,Dirty Harry
83044,Ann Noland,Hippie Girl (uncredited),ACTOR,tm14873,Dirty Harry
83045,Kathleen O'Malley,Lady in Jaffe's Cafe (uncredited),ACTOR,tm14873,Dirty Harry
11774,Angela Paton,Homicide Detective (uncredited),ACTOR,tm14873,Dirty Harry
83046,Victor Paul,Car Driver (uncredited),ACTOR,tm14873,Dirty Harry
27040,Debralee Scott,Ann Mary Deacon (uncredited),ACTOR,tm14873,Dirty Harry
56405,Don Siegel,Pedestrian Passing Harry's Car (uncredited),ACTOR,tm14873,Dirty Harry
83047,Kristoffer Tabori,Hippie Guy (uncredited),ACTOR,tm14873,Dirty Harry
357644,Tony Dario,Police Sergeant (uncredited),ACTOR,tm14873,Dirty Harry
1254876,Marc Hertsens,Steve - Doctor (uncredited),ACTOR,tm14873,Dirty Harry
1254791,Gordon Chapli,Fireman (uncredited),ACTOR,tm14873,Dirty Harry
1254778,Janet Wisely,First Nude (uncredited),ACTOR,tm14873,Dirty Harry
1255103,Pamela Tanimura,Bus Kid (uncredited),ACTOR,tm14873,Dirty Harry
1254838,Richard Samuelson,Bus Kid (uncredited),ACTOR,tm14873,Dirty Harry
1255106,Derek Jue,Bus Kid (uncredited),ACTOR,tm14873,Dirty Harry
1255122,Sean Maley,Bus Kid (uncredited),ACTOR,tm14873,Dirty Harry
1255589,Diane Darnell,Mayor's Secretary (uncredited),ACTOR,tm14873,Dirty Harry
56405,Don Siegel,,DIRECTOR,tm14873,Dirty Harry
20837,Warren Beatty,Clyde Barrow,ACTOR,tm119281,Bonnie and Clyde
17170,Faye Dunaway,Bonnie Parker,ACTOR,tm119281,Bonnie and Clyde
16446,Michael J. Pollard,C. W. Moss,ACTOR,tm119281,Bonnie and Clyde
15098,Gene Hackman,Buck Barrow,ACTOR,tm119281,Bonnie and Clyde
22346,Estelle Parsons,Blanche,ACTOR,tm119281,Bonnie and Clyde
18249,Denver Pyle,Frank Hamer,ACTOR,tm119281,Bonnie and Clyde
11347,Dub Taylor,Ivan Moss,ACTOR,tm119281,Bonnie and Clyde
22347,Evans Evans,Velma Davis,ACTOR,tm119281,Bonnie and Clyde
22345,Gene Wilder,Eugene Grizzard,ACTOR,tm119281,Bonnie and Clyde
22348,Mabel Cavitt,Bonnie's mother (uncredited),ACTOR,tm119281,Bonnie and Clyde
22349,Patrick Cranshaw,Bank Teller (uncredited),ACTOR,tm119281,Bonnie and Clyde
345491,Owen Bush,Policeman (uncredited),ACTOR,tm119281,Bonnie and Clyde
22351,Clyde Howdy,Deputy (uncredited),ACTOR,tm119281,Bonnie and Clyde
22352,Russ Marker,Bank Guard (uncredited),ACTOR,tm119281,Bonnie and Clyde
22354,Ann Palmer,Bonnie's Sister (uncredited),ACTOR,tm119281,Bonnie and Clyde
511857,Ken Mayer,Sheriff Smoot (uncredited),ACTOR,tm119281,Bonnie and Clyde
22355,Arthur Penn,,DIRECTOR,tm119281,Bonnie and Clyde
14989,Brooke Shields,Emmeline,ACTOR,tm98978,The Blue Lagoon
44313,Christopher Atkins,Richard,ACTOR,tm98978,The Blue Lagoon
36764,Leo McKern,Paddy Button,ACTOR,tm98978,The Blue Lagoon
30068,William Daniels,Arthur Lestrange,ACTOR,tm98978,The Blue Lagoon
80677,Jeffrey Kleiser,Lookout,ACTOR,tm98978,The Blue Lagoon
66492,Gus Mercurio,Officer,ACTOR,tm98978,The Blue Lagoon
80678,Elva Josephson,Young Emmeline,ACTOR,tm98978,The Blue Lagoon
80679,Glenn Kohan,Young Richard,ACTOR,tm98978,The Blue Lagoon
80680,Bradley Pryce,Little Paddy,ACTOR,tm98978,The Blue Lagoon
80681,Chad Timmerman,Infant Paddy,ACTOR,tm98978,The Blue Lagoon
80682,Gert Jacoby,Sailor,ACTOR,tm98978,The Blue Lagoon
80683,Alex Hamilton,Sailor,ACTOR,tm98978,The Blue Lagoon
80684,Richard Evanson,Sailor,ACTOR,tm98978,The Blue Lagoon
28692,Randal Kleiser,,DIRECTOR,tm98978,The Blue Lagoon
16024,Gregory Peck,Capt. Keith Mallory,ACTOR,tm44204,The Guns of Navarone
16485,David Niven,Cpl. James Arthur Miller,ACTOR,tm44204,The Guns of Navarone
16350,Anthony Quinn,Col. Andrea Stavros,ACTOR,tm44204,The Guns of Navarone
29175,Stanley Baker,Pvt. 'Butcher' Brown,ACTOR,tm44204,The Guns of Navarone
16352,Anthony Quayle,Maj. Roy Franklin,ACTOR,tm44204,The Guns of Navarone
29176,James Darren,Pvt. Spyros Pappadimos,ACTOR,tm44204,The Guns of Navarone
21795,Irene Papas,Maria Pappadimos,ACTOR,tm44204,The Guns of Navarone
29177,Gia Scala,Anna,ACTOR,tm44204,The Guns of Navarone
29178,James Robertson Justice,Commodore Jensen / Prologue Narrator,ACTOR,tm44204,The Guns of Navarone
4431,Richard Harris,Squadron Leader Howard Barnsby RAAF,ACTOR,tm44204,The Guns of Navarone
29179,Bryan Forbes,Cohn,ACTOR,tm44204,The Guns of Navarone
29180,Allan Cuthbertson,Maj. Baker,ACTOR,tm44204,The Guns of Navarone
16493,Michael Trubshawe,Weaver,ACTOR,tm44204,The Guns of Navarone
27914,Percy Herbert,Sgt. Grogan,ACTOR,tm44204,The Guns of Navarone
16882,George Mikell,SS Hauptman Sessler,ACTOR,tm44204,The Guns of Navarone
11738,Walter Gotell,Muesel,ACTOR,tm44204,The Guns of Navarone
13701,Tutte Lemkow,Nicolai,ACTOR,tm44204,The Guns of Navarone
29181,Albert Lieven,Commandant,ACTOR,tm44204,The Guns of Navarone
29182,Norman Wooland,Group Captain,ACTOR,tm44204,The Guns of Navarone
613906,Kleo Skouloudi,Bride,ACTOR,tm44204,The Guns of Navarone
29184,Nicholas Papakonstantinou,Patrol Boat Captain,ACTOR,tm44204,The Guns of Navarone
29185,Christopher Rhodes,German Gunnery Officer,ACTOR,tm44204,The Guns of Navarone
13433,William Hoehne Jr.,German Officer on Navarone,ACTOR,tm44204,The Guns of Navarone
29187,J. Lee Thompson,,DIRECTOR,tm44204,The Guns of Navarone
26187,Burt Lancaster,Dolworth,ACTOR,tm67378,The Professionals
35196,Lee Marvin,Fardan,ACTOR,tm67378,The Professionals
24126,Robert Ryan,Ehrengard,ACTOR,tm67378,The Professionals
36499,Woody Strode,Jake,ACTOR,tm67378,The Professionals
16444,Jack Palance,Jesus Raza,ACTOR,tm67378,The Professionals
16488,Claudia Cardinale,Maria,ACTOR,tm67378,The Professionals
12463,Ralph Bellamy,Grant,ACTOR,tm67378,The Professionals
62767,Joe De Santis,Ortega,ACTOR,tm67378,The Professionals
62768,Rafael Bertrand,Fierro,ACTOR,tm67378,The Professionals
62769,Jorge Martínez de Hoyos,Padilla,ACTOR,tm67378,The Professionals
62770,Marie Gomez,Chiquita,ACTOR,tm67378,The Professionals
57746,José Chávez,Revolutionary,ACTOR,tm67378,The Professionals
127918,Carlos Romero,Revolutionary,ACTOR,tm67378,The Professionals
23699,Vaughn Taylor,Banker,ACTOR,tm67378,The Professionals
